clock	tasks	taskCompletionRatio	totalReward
969	17	0.43	1221
970	17	0.43	1221
971	17	0.43	1221
972	17	0.43	1221
973	17	0.43	1221
974	17	0.43	1221
975	17	0.43	1221
976	17	0.43	1221
977	17	0.43	1221
978	17	0.43	1221
979	17	0.43	1221
980	18	0.43	1221
981	18	0.43	1221
982	18	0.43	1221
983	18	0.43	1221
984	18	0.43	1221
985	18	0.43	1221
986	18	0.43	1221
987	18	0.43	1221
988	18	0.43	1221
989	18	0.43	1221
990	18	0.43	1221
991	18	0.43	1221
992	18	0.43	1221
993	18	0.43	1221
994	18	0.43	1221
995	18	0.43	1221
996	18	0.43	1221
997	18	0.43	1221
998	18	0.42	1221
999	18	0.42	1221
1000	18	0.42	1221
1001	18	0.42	1221
1002	18	0.42	1221
1003	18	0.42	1221
1004	18	0.42	1221
1005	18	0.42	1221
1006	18	0.42	1221
1007	18	0.42	1221
1008	18	0.42	1221
1009	18	0.42	1221
1010	18	0.42	1221
1011	18	0.42	1221
1012	18	0.42	1221
1013	18	0.42	1221
1014	18	0.42	1221
1015	18	0.42	1255
1016	18	0.42	1255
1017	18	0.42	1255
1018	18	0.42	1255
1019	18	0.42	1255
1020	18	0.42	1255
1021	18	0.42	1255
1022	18	0.42	1255
1023	18	0.42	1255
1024	18	0.42	1255
1025	18	0.42	1255
1026	18	0.42	1255
1027	18	0.42	1255
1028	18	0.42	1255
1029	18	0.42	1255
1030	18	0.41	1255
1031	18	0.41	1255
1032	18	0.41	1255
1033	18	0.41	1255
1034	18	0.41	1255
1035	18	0.41	1255
1036	18	0.41	1255
1037	18	0.41	1255
1038	18	0.41	1255
1039	18	0.41	1255
1040	18	0.41	1255
1041	18	0.41	1255
1042	18	0.41	1255
1043	18	0.41	1255
1044	18	0.41	1255
1045	18	0.41	1255
1046	19	0.41	1255
1047	19	0.41	1255
1048	19	0.41	1255
1049	19	0.41	1255
1050	19	0.41	1255
1051	19	0.41	1255
1052	19	0.41	1255
1053	19	0.41	1255
1054	19	0.41	1255
1055	19	0.41	1255
1056	19	0.41	1255
1057	19	0.41	1255
1058	19	0.41	1255
1059	19	0.41	1255
1060	19	0.41	1255
1061	19	0.41	1255
1062	19	0.41	1255
1063	19	0.41	1255
1064	19	0.41	1255
1065	19	0.41	1255
1066	19	0.41	1255
1067	19	0.41	1255
1068	19	0.41	1255
1069	19	0.41	1255
1070	19	0.41	1255
1071	19	0.41	1255
1072	19	0.41	1255
1073	19	0.41	1255
1074	19	0.41	1255
1075	19	0.41	1255
1076	19	0.41	1255
1077	19	0.41	1255
1078	19	0.41	1255
1079	20	0.41	1255
1080	20	0.41	1255
1081	20	0.41	1255
1082	20	0.41	1255
1083	20	0.41	1255
1084	20	0.41	1255
1085	20	0.41	1255
1086	20	0.41	1255
1087	20	0.41	1255
1088	20	0.41	1255
1089	20	0.41	1255
1090	20	0.41	1255
1091	20	0.41	1255
1092	20	0.41	1255
1093	20	0.41	1255
1094	20	0.41	1255
1095	20	0.41	1255
1096	20	0.42	1255
1097	20	0.42	1255
1098	20	0.42	1255
1099	20	0.42	1255
1100	20	0.42	1255
1101	20	0.42	1255
1102	20	0.42	1255
1103	20	0.42	1255
1104	20	0.42	1255
1105	20	0.42	1255
1106	20	0.42	1255
1107	20	0.42	1255
1108	20	0.42	1255
1109	20	0.42	1255
